+--------+------------------+------------------+------------------+----------------------------+
| Index  |    Interative    | Binet's Formula  |    Difference    |          ERROR(%)          |
+--------+------------------+------------------+------------------+----------------------------+
|      0 |     0.000000e+00 |     0.000000e+00 |     0.000000e+00 |                       0.0% |
|      1 |     1.000000e+00 |     1.000000e+00 |     0.000000e+00 |                       0.0% |
|      2 |     1.000000e+00 |     1.000000e+00 |     0.000000e+00 |                       0.0% |
|      3 |     2.000000e+00 |     2.000000e+00 |     0.000000e+00 |                       0.0% |
|      4 |     3.000000e+00 |     3.000000e+00 |     0.000000e+00 |                       0.0% |
|      5 |     5.000000e+00 |     5.000000e+00 |     0.000000e+00 |                       0.0% |
|      6 |     8.000000e+00 |     8.000000e+00 |     0.000000e+00 |                       0.0% |
|      7 |     1.300000e+01 |     1.300000e+01 |     0.000000e+00 |                       0.0% |
|      8 |     2.100000e+01 |     2.100000e+01 |     0.000000e+00 |                       0.0% |
|      9 |     3.400000e+01 |     3.400000e+01 |     0.000000e+00 |                       0.0% |
|     10 |     5.500000e+01 |     5.500000e+01 |     0.000000e+00 |                       0.0% |
|     11 |     8.900000e+01 |     8.900000e+01 |     0.000000e+00 |                       0.0% |
|     12 |     1.440000e+02 |     1.440000e+02 |     0.000000e+00 |                       0.0% |
|     13 |     2.330000e+02 |     2.330000e+02 |     0.000000e+00 |                       0.0% |
|     14 |     3.770000e+02 |     3.770000e+02 |     0.000000e+00 |                       0.0% |
|     15 |     6.100000e+02 |     6.100000e+02 |     0.000000e+00 |                       0.0% |
|     16 |     9.870000e+02 |     9.870000e+02 |     0.000000e+00 |                       0.0% |
|     17 |     1.597000e+03 |     1.597000e+03 |     0.000000e+00 |                       0.0% |
|     18 |     2.584000e+03 |     2.584000e+03 |     0.000000e+00 |                       0.0% |
|     19 |     4.181000e+03 |     4.181000e+03 |     0.000000e+00 |                       0.0% |
|     20 |     6.765000e+03 |     6.765000e+03 |     0.000000e+00 |                       0.0% |
|     21 |     1.094600e+04 |     1.094600e+04 |     0.000000e+00 |                       0.0% |
|     22 |     1.771100e+04 |     1.771100e+04 |     0.000000e+00 |                       0.0% |
|     23 |     2.865700e+04 |     2.865700e+04 |     0.000000e+00 |                       0.0% |
|     24 |     4.636800e+04 |     4.636800e+04 |     0.000000e+00 |                       0.0% |
|     25 |     7.502500e+04 |     7.502500e+04 |     0.000000e+00 |                       0.0% |
|     26 |     1.213930e+05 |     1.213930e+05 |     0.000000e+00 |                       0.0% |
|     27 |     1.964180e+05 |     1.964180e+05 |     0.000000e+00 |                       0.0% |
|     28 |     3.178110e+05 |     3.178110e+05 |     0.000000e+00 |                       0.0% |
|     29 |     5.142290e+05 |     5.142290e+05 |     0.000000e+00 |                       0.0% |
|     30 |     8.320400e+05 |     8.320400e+05 |     0.000000e+00 |                       0.0% |
|     31 |     1.346269e+06 |     1.346269e+06 |     0.000000e+00 |                       0.0% |
|     32 |     2.178309e+06 |     2.178309e+06 |     0.000000e+00 |                       0.0% |
|     33 |     3.524578e+06 |     3.524578e+06 |     0.000000e+00 |                       0.0% |
|     34 |     5.702887e+06 |     5.702887e+06 |     0.000000e+00 |                       0.0% |
|     35 |     9.227465e+06 |     9.227465e+06 |     0.000000e+00 |                       0.0% |
|     36 |     1.493035e+07 |     1.493035e+07 |     0.000000e+00 |                       0.0% |
|     37 |     2.415782e+07 |     2.415782e+07 |     0.000000e+00 |                       0.0% |
|     38 |     3.908817e+07 |     3.908817e+07 |     0.000000e+00 |                       0.0% |
|     39 |     6.324599e+07 |     6.324599e+07 |     0.000000e+00 |                       0.0% |
|     40 |     1.023342e+08 |     1.023342e+08 |     0.000000e+00 |                       0.0% |
|     41 |     1.655801e+08 |     1.655801e+08 |     0.000000e+00 |                       0.0% |
|     42 |     2.679143e+08 |     2.679143e+08 |     0.000000e+00 |                       0.0% |
|     43 |     4.334944e+08 |     4.334944e+08 |     0.000000e+00 |                       0.0% |
|     44 |     7.014087e+08 |     7.014087e+08 |     0.000000e+00 |                       0.0% |
|     45 |     1.134903e+09 |     1.134903e+09 |     0.000000e+00 |                       0.0% |
|     46 |     1.836312e+09 |     1.836312e+09 |     0.000000e+00 |                       0.0% |
|     47 |     2.971215e+09 |     2.971215e+09 |     0.000000e+00 |                       0.0% |
|     48 |     4.807527e+09 |     4.807527e+09 |     0.000000e+00 |                       0.0% |
|     49 |     7.778742e+09 |     7.778742e+09 |     0.000000e+00 |                       0.0% |
|     50 |     1.258627e+10 |     1.258627e+10 |     0.000000e+00 |                       0.0% |
|     51 |     2.036501e+10 |     2.036501e+10 |     0.000000e+00 |                       0.0% |
|     52 |     3.295128e+10 |     3.295128e+10 |     0.000000e+00 |                       0.0% |
|     53 |     5.331629e+10 |     5.331629e+10 |     0.000000e+00 |                       0.0% |
|     54 |     8.626757e+10 |     8.626757e+10 |     0.000000e+00 |                       0.0% |
|     55 |     1.395839e+11 |     1.395839e+11 |     0.000000e+00 |                       0.0% |
|     56 |     2.258514e+11 |     2.258514e+11 |     0.000000e+00 |                       0.0% |
|     57 |     3.654353e+11 |     3.654353e+11 |     0.000000e+00 |                       0.0% |
|     58 |     5.912867e+11 |     5.912867e+11 |     0.000000e+00 |                       0.0% |
|     59 |     9.567220e+11 |     9.567220e+11 |     0.000000e+00 |                       0.0% |
|     60 |     1.548009e+12 |     1.548009e+12 |     0.000000e+00 |                       0.0% |
|     61 |     2.504731e+12 |     2.504731e+12 |     0.000000e+00 |                       0.0% |
|     62 |     4.052740e+12 |     4.052740e+12 |     0.000000e+00 |                       0.0% |
|     63 |     6.557470e+12 |     6.557470e+12 |     0.000000e+00 |                       0.0% |
|     64 |     1.061021e+13 |     1.061021e+13 |     0.000000e+00 |                       0.0% |
|     65 |     1.716768e+13 |     1.716768e+13 |     0.000000e+00 |                       0.0% |
|     66 |     2.777789e+13 |     2.777789e+13 |     0.000000e+00 |                       0.0% |
|     67 |     4.494557e+13 |     4.494557e+13 |     0.000000e+00 |                       0.0% |
|     68 |     7.272346e+13 |     7.272346e+13 |     0.000000e+00 |                       0.0% |
|     69 |     1.176690e+14 |     1.176690e+14 |     0.000000e+00 |                       0.0% |
|     70 |     1.903925e+14 |     1.903925e+14 |     0.000000e+00 |                       0.0% |
|     71 |     3.080615e+14 |     3.080615e+14 |     0.000000e+00 |                       0.0% |
|     72 |     4.984540e+14 |     4.984540e+14 |    -1.000000e+00 |    2.0062031324210126e-13% |
|     73 |     8.065155e+14 |     8.065155e+14 |    -2.000000e+00 |    2.4798034483453836e-13% |
|     74 |     1.304970e+15 |     1.304970e+15 |    -3.000000e+00 |     2.298904224744962e-13% |
|     75 |     2.111485e+15 |     2.111485e+15 |    -5.000000e+00 |     2.368001579621856e-13% |
|     76 |     3.416455e+15 |     3.416455e+15 |    -8.000000e+00 |     2.341608738591596e-13% |
